,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 
(Optional)","Answer 4 
(Optional)","Time Limit (sec) 
(Max: 300 Seconds)","Correct Answer(s) 
(Only Include Answer #)"
1,"Which region in Nova Scotia is known as ""The Agricultural Valley,"" famous for Honeycrisp apples and orchards?",Annapolis Valley,Cape Breton,South Shore,Halifax Harbour,20,1
2,"Which town is called ""The Hub of Nova Scotia"" because Highway 102, Highway 104, and rail lines cross there?",Yarmouth,Truro,Lunenburg,Sydney,20,2
3,"Which town sits on the Chignecto Isthmus and acts as the ""land bridge"" connecting Nova Scotia to New Brunswick?",New Glasgow,Digby,Amherst,Wolfville,20,3
4,"In which historic South Shore town was Canada's famous racing schooner, the Bluenose, built?",Yarmouth,Pictou,Kentville,Lunenburg,20,4
5,On which Canadian coin can you find an image of the Bluenose schooner?,The 10¢ dime,The 25¢ quarter,The $1 loonie,The $2 toonie,20,1
6,"Which historic island of Nova Scotia is famous for Gaelic culture, coal mining heritage, and the Cabot Trail?",Sable Island,Cape Breton,Brier Island,Prince Edward Island,20,2
7,What man-made rock structure physically connects mainland Nova Scotia to Cape Breton Island?,Confederation Bridge,Macdonald Bridge,Canso Causeway,Chignecto Isthmus,20,3
8,Which southwestern Nova Scotia town is known for its large commercial lobster fishing fleet and ferry to Maine?,Truro,Amherst,New Glasgow,Yarmouth,20,4
9,Which Northumberland Shore community is famous as the landing site of the ship Hector and the birthplace of Sobeys?,New Glasgow / Pictou,Lunenburg,Wolfville,Yarmouth,20,1
10,What body of water separating Nova Scotia from New Brunswick has the highest tides in the world?,Northumberland Strait,Bay of Fundy,Atlantic Ocean,Bras d'Or Lake,20,2
11,"What shallow, warm body of water separates northern Nova Scotia from Prince Edward Island?",Bay of Fundy,Halifax Harbour,Northumberland Strait,Gulf of Maine,20,3
12,What is the capital city of Nova Scotia?,Dartmouth,Sydney,Truro,Halifax,20,4
13,What is the capital city of British Columbia?,Victoria,Vancouver,Kelowna,Surrey,20,1
14,What is the capital city of Alberta?,Calgary,Edmonton,Red Deer,Banff,20,2
15,What is the capital city of Saskatchewan?,Saskatoon,Moose Jaw,Regina,Prince Albert,20,3
16,What is the capital city of Manitoba?,Brandon,Churchill,Thompson,Winnipeg,20,4
17,What is the capital city of Ontario?,Toronto,Ottawa,Hamilton,Mississauga,20,1
18,What is the capital city of Quebec?,Montreal,Quebec City,Laval,Gatineau,20,2
19,What is the capital city of New Brunswick?,Moncton,Saint John,Fredericton,Bathurst,20,3
20,Which province is Canada's only officially bilingual province?,Quebec,Ontario,Nova Scotia,New Brunswick,20,4
21,"What is the capital city of Prince Edward Island, known as the ""Cradle of Confederation""?",Charlottetown,Summerside,Cavendish,Montague,20,1
22,What is the capital city of Newfoundland and Labrador?,Corner Brook,St. John's,Gander,Labrador City,20,2
23,What is the capital city of the Yukon territory?,Dawson City,Yellowknife,Whitehorse,Iqaluit,20,3
24,What is the capital city of the Northwest Territories?,Inuvik,Whitehorse,Iqaluit,Yellowknife,20,4
25,"What is the capital city of Nunavut, Canada's newest territory?",Iqaluit,Yellowknife,Whitehorse,Rankin Inlet,20,1
26,What is the national capital city of Canada?,Toronto,Ottawa,Montreal,Vancouver,20,2
27,"Which level of government handles country-wide issues like national defence, immigration, and currency?",Municipal government,School board,Federal government,Provincial government,20,3
28,Which level of government is responsible for funding and running public schools and hospitals in Nova Scotia?,Municipal government,Federal government,United Nations,Provincial government,20,4
29,"Which level of government is responsible for daily local services like snow plowing, garbage collection, and buses?",Municipal government,Federal government,Provincial government,National government,20,1
30,Where does the federal Parliament of Canada meet to debate and pass national laws?,City Hall in Halifax,Parliament Hill in Ottawa,Province House in Halifax,Queen's Park in Toronto,20,2
31,What is the historic building in Halifax where Nova Scotia's provincial legislature meets?,Halifax City Hall,Dartmouth Sportsplex,Province House,Citadel Hill,20,3
32,"What do we call a local rule passed by a city council, such as a noise limit or winter parking ban?",A constitutional amendment,A treaty,A federal statute,A bylaw,20,4
33,What kind of law is the Youth Criminal Justice Act (YCJA)?,A federal statute,A municipal bylaw,A school board rule,A provincial directive,20,1
34,The Nova Scotia rule requiring students' personal cellphones to be off during class time is an example of a:,City bylaw,Provincial ministerial directive,Federal criminal statute,International treaty,20,2
35,"Why are municipal powers called ""delegated"" powers?",Because cities have more power than provinces,Because they are in the 1867 Constitution,Because the province delegates power to cities,Because the King writes city rules,20,3
36,Which level of government prints Canada's banknotes and mints coins?,Municipal government,Provincial government,Bank of Halifax,Federal government,20,4
37,Who is the Prime Minister of Canada (Sept 2026)?,Mark Carney,Tim Houston,Andy Fillmore,Justin Trudeau,20,1
38,Who is the Premier of Nova Scotia (Sept 2026)?,Mark Carney,Tim Houston,Andy Fillmore,Claudia Chender,20,2
39,Who is the Mayor of Halifax Regional Municipality (HRM) (Sept 2026)?,Mike Savage,Tim Houston,Andy Fillmore,Sam Austin,20,3
40,What is the title of an elected representative who serves in the federal House of Commons in Ottawa?,City Councillor,Premier,Mayor,Member of Parliament (MP),20,4
41,What is the title of an elected representative who serves in the Nova Scotia House of Assembly in Halifax?,Member of the Legislative Assembly (MLA),Member of Parliament (MP),City Councillor,Senator,20,1
42,Who is the Member of Parliament (MP) representing Dartmouth—Cole Harbour in Ottawa?,Tim Halman,Darren Fisher,Sam Austin,Andy Fillmore,20,2
43,"If your family has an issue with Canadian passport renewal before traveling abroad, who should you contact?",Your City Councillor,Your school principal,Your Member of Parliament (MP),Your MLA,20,3
44,"If you have concerns about hospital wait times or public school funding in Dartmouth, who should you contact?",The Prime Minister,The Mayor of HRM,A federal border officer,Your MLA (Member of Legislative Assembly),20,4
45,"If a local Dartmouth bus route is constantly delayed or a pothole damages your street, who should you contact?",Your City Councillor,The Prime Minister,The Premier of Nova Scotia,Your Member of Parliament (MP),20,1
